Size,Installs,Type
27.0,1000.0,0.0
3.6,5000.0,0.0
37.0,100000.0,0.0
29.0,1000.0,0.0
4.4,100000.0,0.0
21.0,100.0,0.0
13.0,1000.0,0.0
27.0,50000.0,0.0
11.0,5000.0,0.0
24.0,100000.0,0.0
6.1,100.0,0.0
6.3,1000.0,0.0
23.0,1000.0,0.0
34.0,100.0,0.0
3.8,500.0,0.0
37.0,10000000.0,0.0
37.0,1000000.0,0.0
42.0,5000000.0,0.0
37.0,5000000.0,0.0
19.0,5000000.0,0.0
70.0,10000000.0,0.0
32.0,500000.0,0.0
93.0,5000000.0,0.0
37.0,10000000.0,0.0
37.0,1000000.0,0.0
37.0,1000000.0,0.0
40.0,10000000.0,0.0
24.0,5000000.0,0.0
37.0,1000000.0,0.0
20.0,1000000.0,0.0
15.0,10000000.0,0.0
28.0,1000000.0,0.0
10.0,5000000.0,0.0
37.0,1000000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
14.0,1000000.0,0.0
37.0,5000000.0,0.0
42.0,1000000.0,0.0
65.0,1000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
39.0,1000000.0,0.0
47.0,50000000.0,0.0
79.0,10000000.0,0.0
18.0,1000000.0,0.0
37.0,1000000.0,0.0
100.0,1000000.0,0.0
32.0,10000000.0,0.0
46.0,1000000.0,0.0
37.0,100000000.0,0.0
9.8,5000000.0,0.0
8.2,1000000.0,0.0
18.0,5000000.0,0.0
37.0,1000000.0,0.0
39.0,10000000.0,0.0
44.0,10000.0,0.0
37.0,1000000.0,0.0
5.0,100000.0,0.0
21.0,100000.0,0.0
22.0,100000.0,0.0
23.0,1000000.0,0.0
37.0,1000000.0,0.0
37.0,100000000.0,0.0
37.0,1000000.0,0.0
27.0,1000000.0,0.0
37.0,5000000.0,0.0
5.0,100000.0,0.0
32.0,500000.0,0.0
7.4,1000000.0,0.0
24.0,100000.0,0.0
22.0,500000.0,0.0
37.0,1000000.0,0.0
10.0,1000000.0,0.0
17.0,100000.0,0.0
38.0,100000.0,0.0
46.0,1000000.0,0.0
3.8,1000000.0,0.0
9.3,50000.0,0.0
8.4,1000000.0,0.0
28.0,100000.0,0.0
37.0,10000000.0,0.0
9.7,100000.0,0.0
11.0,1000000.0,0.0
37.0,5000000.0,0.0
7.4,1000000.0,0.0
19.0,100000.0,0.0
16.0,1000000.0,0.0
14.0,100000.0,0.0
22.0,1000000.0,0.0
25.0,1000000.0,0.0
3.6,50000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
4.5,500000.0,0.0
37.0,1000000.0,0.0
23.0,1000000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
37.0,1000000.0,0.0
4.2,100000.0,0.0
37.0,500000.0,0.0
58.0,1000000.0,0.0
37.0,1000000.0,0.0
22.0,1000000.0,0.0
37.0,500000.0,0.0
1.4,1000000.0,0.0
37.0,5000000.0,0.0
9.1,500000.0,0.0
22.0,100000.0,0.0
37.0,1000000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
37.0,5000000.0,0.0
21.0,50000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
11.0,100000.0,0.0
38.0,1000000.0,0.0
12.0,500000.0,0.0
45.0,1000000.0,0.0
50.0,500000.0,0.0
24.0,100000.0,0.0
47.0,50000000.0,0.0
23.0,1000000.0,0.0
46.0,100000.0,0.0
45.0,100000.0,0.0
50.0,1000000.0,0.0
24.0,1000000.0,0.0
33.0,5000000.0,0.0
37.0,100000000.0,0.0
12.0,50000.0,0.0
53.0,10000000.0,0.0
14.0,10000.0,0.0
68.0,5000000.0,0.0
37.0,10000000.0,0.0
79.0,10000000.0,0.0
32.0,1000000.0,0.0
46.0,5000000.0,0.0
40.0,1000000.0,0.0
32.0,10000000.0,0.0
37.0,10000000.0,0.0
24.0,1000000.0,0.0
42.0,10000000.0,0.0
12.0,50000.0,0.0
13.0,10000000.0,0.0
13.0,1000000.0,0.0
4.9,10000.0,0.0
8.9,100000.0,0.0
37.0,1000000.0,0.0
19.0,10000000.0,0.0
37.0,1000000.0,0.0
14.0,500000.0,0.0
64.0,10000000.0,0.0
8.4,500000.0,0.0
11.0,50000.0,0.0
66.0,1000000.0,0.0
37.0,1000000.0,0.0
41.0,1000000.0,0.0
15.0,500000.0,0.0
35.0,5000000.0,0.0
36.0,1000000.0,0.0
17.0,5000000.0,0.0
25.0,1000000.0,0.0
35.0,10000000.0,0.0
10.0,100000.0,0.0
37.0,10000000.0,0.0
12.0,5000000.0,0.0
37.0,5000000.0,0.0
11.0,1000000.0,0.0
37.0,10000000.0,0.0
37.0,5000000.0,0.0
17.0,1000000.0,0.0
43.0,1000000.0,0.0
41.0,1000000.0,0.0
37.0,1000000.0,0.0
43.0,100000.0,0.0
16.0,100000.0,0.0
39.0,1000000.0,0.0
13.0,50000.0,0.0
30.0,500000.0,0.0
7.1,500000.0,0.0
23.0,100000.0,0.0
17.0,1000000.0,0.0
18.0,1000000.0,0.0
37.0,100000.0,0.0
17.0,100000.0,0.0
37.0,5000000.0,0.0
15.0,500000.0,0.0
22.0,100000.0,0.0
37.0,1000000.0,0.0
9.0,10000.0,0.0
7.2,50000.0,0.0
37.0,5000000.0,0.0
37.0,10000.0,1.0
2.3,50000.0,1.0
27.0,1000000.0,0.0
37.0,1000000.0,0.0
8.2,10000000.0,0.0
76.0,1000000.0,0.0
22.0,1000000.0,0.0
37.0,1000000.0,0.0
19.0,5000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
28.0,50000.0,0.0
35.0,5000000.0,0.0
37.0,100000.0,0.0
22.0,1000000.0,0.0
37.0,10000000.0,0.0
37.0,1000000.0,0.0
37.0,1000000.0,0.0
25.0,100000.0,0.0
30.0,10000000.0,0.0
8.5,100000.0,0.0
37.0,1000000.0,0.0
17.0,5000000.0,0.0
34.0,10000000.0,0.0
34.0,1000000.0,0.0
37.0,5000000.0,0.0
17.0,5000000.0,0.0
16.0,10000000.0,0.0
37.0,10000000.0,0.0
15.0,10000000.0,0.0
2.2,500000.0,0.0
11.0,5000000.0,0.0
6.9,1000000.0,0.0
13.0,10000000.0,0.0
11.0,10000000.0,0.0
2.9,10000000.0,0.0
25.0,10000000.0,0.0
7.0,10000000.0,0.0
27.0,10000000.0,0.0
7.5,1000000.0,0.0
37.0,10000000.0,0.0
15.0,1000000.0,0.0
9.4,100000.0,0.0
6.4,500000.0,0.0
5.5,100000.0,0.0
3.9,500000.0,0.0
55.0,5000000.0,0.0
28.0,1000000.0,0.0
37.0,10000000.0,0.0
8.8,50000.0,0.0
37.0,10000000.0,0.0
4.0,500000.0,0.0
6.9,100000.0,0.0
11.0,1000000.0,0.0
37.0,10000000.0,0.0
5.5,500000.0,0.0
37.0,10000000.0,0.0
15.0,5000000.0,0.0
4.3,1000000.0,0.0
37.0,50000000.0,0.0
7.1,100000.0,0.0
58.0,5000000.0,0.0
37.0,10000000.0,0.0
37.0,1000000.0,0.0
18.0,100000.0,0.0
37.0,10000000.0,0.0
1.5,1000000.0,0.0
6.5,500000.0,0.0
11.0,100000.0,0.0
67.0,10000000.0,0.0
37.0,1000000.0,0.0
57.0,5000000.0,0.0
59.0,1000000.0,0.0
48.0,500000.0,0.0
57.0,1000000.0,0.0
13.0,1000000.0,0.0
37.0,1000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
31.0,5000000.0,0.0
10.0,1000000.0,0.0
57.0,5000000.0,0.0
37.0,10000000.0,0.0
21.0,500000.0,0.0
25.0,10000000.0,0.0
93.0,10000000.0,0.0
60.0,1000000.0,0.0
27.0,5000000.0,0.0
54.0,1000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
59.0,1000000.0,0.0
37.0,10000000.0,0.0
78.0,5000000.0,0.0
55.0,1000000.0,0.0
37.0,5000000.0,0.0
37.0,10000000.0,0.0
67.0,10000000.0,0.0
37.0,1000000.0,0.0
35.0,5000000.0,0.0
37.0,100000.0,1.0
43.0,1000000.0,0.0
39.0,100000.0,0.0
4.2,1000000.0,0.0
44.0,500000.0,0.0
45.0,500000.0,0.0
37.0,100000.0,0.0
28.0,1000000.0,0.0
29.0,10000.0,1.0
12.0,500000.0,0.0
15.0,100000.0,0.0
31.0,100000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
37.0,100000.0,1.0
37.0,5000000.0,0.0
20.0,500000.0,0.0
39.0,10000000.0,0.0
94.0,100000.0,0.0
35.0,5000000.0,0.0
37.0,100000.0,1.0
37.0,1000000.0,0.0
41.0,1000000.0,0.0
49.0,1000000.0,0.0
22.0,1000000.0,0.0
37.0,5000000.0,0.0
23.0,1000000.0,0.0
28.0,1000000.0,0.0
7.2,1000000.0,0.0
6.5,500000.0,0.0
37.0,10000000.0,0.0
24.0,500000.0,0.0
37.0,1000000.0,0.0
37.0,100000000.0,0.0
20.0,10000000.0,0.0
37.0,50000000.0,0.0
15.0,5000000.0,0.0
37.0,5000000.0,0.0
55.0,500000.0,0.0
37.0,1000000.0,0.0
38.0,1000000.0,0.0
32.0,1000000.0,0.0
37.0,10000000.0,0.0
37.0,50000.0,0.0
40.0,50000.0,0.0
59.0,1000000.0,0.0
37.0,10000000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
23.0,5000000.0,0.0
6.1,1000000.0,0.0
37.0,1000000.0,0.0
58.0,5000000.0,0.0
55.0,5000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
57.0,5000000.0,0.0
93.0,10000000.0,0.0
60.0,1000000.0,0.0
37.0,50000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
19.0,1000000.0,0.0
3.8,500000.0,0.0
18.0,1000000.0,0.0
57.0,1000000.0,0.0
5.5,100000.0,0.0
37.0,10000000.0,0.0
5.7,1000000.0,0.0
51.0,100000.0,0.0
9.4,50000.0,0.0
3.3,500000.0,0.0
37.0,1000000.0,0.0
4.0,100000.0,0.0
37.0,50000000.0,0.0
37.0,10000000.0,0.0
19.0,1000000.0,0.0
3.8,500000.0,0.0
4.3,5000000.0,0.0
18.0,1000000.0,0.0
5.7,1000000.0,0.0
37.0,10000000.0,0.0
3.6,100000.0,0.0
5.5,100000.0,0.0
57.0,1000000.0,0.0
51.0,100000.0,0.0
58.0,5000000.0,0.0
37.0,1000000.0,0.0
9.4,50000.0,0.0
3.3,500000.0,0.0
4.0,100000.0,0.0
37.0,50000000.0,0.0
37.0,10000000.0,0.0
9.9,500000.0,0.0
43.0,1000000.0,0.0
37.0,100000.0,0.0
37.0,1000000.0,0.0
37.0,500000.0,0.0
40.0,100000.0,0.0
73.0,500000.0,0.0
28.0,1000000.0,0.0
37.0,1000000.0,0.0
23.0,500000.0,0.0
10.0,500000.0,0.0
15.0,100000.0,0.0
8.4,1000000.0,0.0
31.0,5000000.0,0.0
37.0,500000.0,0.0
37.0,5000000.0,0.0
37.0,5000000.0,0.0
41.0,1000000.0,0.0
37.0,5000000.0,0.0
37.0,1000000.0,0.0
20.0,500000.0,0.0
39.0,10000000.0,0.0
35.0,5000000.0,0.0
34.0,10000000.0,0.0
7.5,100000.0,0.0
37.0,1000000.0,0.0
12.0,10000000.0,0.0
7.7,5000000.0,0.0
21.0,1000000.0,0.0
18.0,1000000.0,0.0
40.0,1000000.0,0.0
37.0,10000000.0,0.0
8.7,10000.0,0.0
37.0,10000000.0,0.0
8.6,500000.0,0.0
37.0,100000.0,0.0
18.0,1000000.0,0.0
7.5,1000000.0,0.0
9.1,1000000.0,0.0
13.0,1000000.0,0.0
37.0,1000000.0,0.0
15.0,100000.0,0.0
37.0,5000000.0,0.0
19.0,1000000.0,0.0
37.0,1000000.0,0.0
37.0,1000000.0,0.0
5.1,5000.0,0.0
26.0,5000000.0,0.0
8.3,10000.0,0.0
27.0,100000.0,0.0
7.9,500000.0,0.0
37.0,1000000.0,0.0
27.0,100000.0,0.0
5.1,1000000.0,0.0
15.0,100000.0,0.0
3.1,100000.0,0.0
16.0,1000000.0,0.0
9.2,500000.0,0.0
37.0,500000.0,0.0
37.0,5000000.0,0.0
10.0,500000.0,0.0
2.6,5000.0,0.0
13.0,100000.0,0.0
1.9,10000.0,0.0
7.0,50000.0,0.0
15.0,100000.0,0.0
4.2,10000.0,0.0
7.8,100000.0,0.0
77.0,1000000.0,0.0
5.7,100000.0,0.0
5.9,500000.0,0.0
7.6,1000000.0,0.0
5.8,50000.0,0.0
37.0,10000000.0,0.0
5.8,1000000.0,0.0
5.3,500000.0,0.0
5.5,1000000.0,0.0
25.0,1000000.0,0.0
35.0,500000.0,0.0
7.9,500000.0,0.0
19.0,1000000.0,0.0
7.5,1000000.0,0.0
12.0,10000000.0,0.0
37.0,10000000.0,0.0
34.0,10000000.0,0.0
30.0,500000.0,0.0
37.0,1000000.0,0.0
37.0,5000000.0,0.0
16.0,1000000.0,0.0
37.0,10000000.0,0.0
16.0,50000.0,0.0
37.0,50000.0,0.0
15.0,10000.0,0.0
21.0,100000.0,0.0
1.8,1000.0,0.0
4.3,100000.0,0.0
10.0,10000.0,0.0
3.7,100000.0,0.0
232.0,5000000.0,0.0
99.0,50000.0,0.0
624.0,10000000.0,0.0
6.9,1000.0,0.0
7.0,100000.0,0.0
7.0,50000.0,0.0
6.4,100000.0,0.0
37.0,50000.0,0.0
16.0,100000.0,0.0
5.9,10000.0,0.0
95.0,50000.0,0.0
8.5,50000.0,0.0
20.0,100000.0,0.0
2.5,100000.0,0.0
50.0,10000000.0,0.0
10.0,10000.0,0.0
18.0,100000.0,0.0
12.0,10000.0,0.0
2.5,10000.0,0.0
2.1,5000.0,0.0
22.0,500000.0,0.0
41.0,5000000.0,0.0
22.0,100000.0,0.0
292.0,1000000.0,0.0
5.5,10000.0,0.0
37.0,1000000.0,0.0
2.5,1000.0,0.0
8.1,500000.0,0.0
28.0,1000000.0,0.0
24.0,100000.0,0.0
3.1,1000000.0,0.0
3.4,10000.0,0.0
11.0,1000000.0,0.0
13.0,500000.0,0.0
19.0,500000.0,0.0
9.5,100000.0,0.0
21.0,50000.0,0.0
9.4,500000.0,0.0
2.4,500000.0,0.0
36.0,1000000.0,0.0
55.0,100000.0,0.0
32.0,5000000.0,0.0
34.0,10000000.0,0.0
5.1,100000.0,0.0
100.0,10000000.0,0.0
80.0,5000000.0,0.0
3.3,1000000.0,0.0
28.0,5000000.0,0.0
5.0,1000000.0,0.0
11.0,10000000.0,0.0
55.0,1000000.0,0.0
7.1,1000000.0,0.0
3.2,5000000.0,0.0
4.4,10000000.0,0.0
16.0,500000.0,0.0
6.3,5000000.0,0.0
45.0,10000000.0,0.0
23.0,1000000.0,0.0
37.0,1000000.0,0.0
13.0,10000000.0,0.0
8.1,5000000.0,0.0
13.0,1000000.0,0.0
14.0,10000000.0,0.0
30.0,50000000.0,0.0
36.0,1000000.0,0.0
3.0,500000.0,0.0
1.4,500000.0,0.0
39.0,1000000.0,0.0
1.8,5000000.0,0.0
1.7,1000000.0,0.0
19.0,1000000.0,0.0
15.0,100000.0,0.0
10.0,1000000.0,0.0
2.7,1000000.0,0.0
16.0,10000000.0,0.0
21.0,1000000.0,0.0
20.0,1000000.0,0.0
14.0,10000000.0,0.0
76.0,500000.0,0.0
18.0,10000000.0,0.0
12.0,1000000.0,0.0
6.2,1000000.0,0.0
37.0,100000.0,0.0
6.8,100000.0,0.0
37.0,10000000.0,0.0
24.0,500000.0,0.0
19.0,1000000.0,0.0
13.0,1000000.0,0.0
15.0,1000000.0,0.0
13.0,100000.0,0.0
37.0,100000.0,0.0
37.0,1000000.0,0.0
44.0,1000000.0,0.0
37.0,10000000.0,0.0
9.7,100000.0,0.0
24.0,500000.0,0.0
13.0,500000.0,0.0
4.5,10000.0,0.0
4.5,100000.0,0.0
29.0,5000000.0,0.0
12.0,1000000.0,0.0
12.0,500000.0,0.0
37.0,500000.0,0.0
4.6,10000.0,0.0
10.0,1000000.0,0.0
6.8,100000.0,0.0
33.0,10000000.0,0.0
12.0,500000.0,0.0
37.0,500000.0,0.0
4.6,10000.0,0.0
10.0,1000000.0,0.0
6.8,100000.0,0.0
33.0,10000000.0,0.0
13.0,100000.0,0.0
15.0,50000.0,0.0
23.0,5000.0,0.0
7.7,100000.0,0.0
37.0,1000000.0,0.0
15.0,100000.0,0.0
25.0,50000.0,0.0
37.0,1000000.0,0.0
3.0,100000.0,0.0
22.0,1000000.0,0.0
37.0,5000000.0,0.0
37.0,500000.0,0.0
7.5,500000.0,0.0
24.0,1000000.0,0.0
37.0,500000.0,0.0
44.0,1000000.0,0.0
37.0,100000.0,0.0
37.0,1000000.0,0.0
14.0,100000.0,0.0
67.0,100000000.0,0.0
76.0,1000000000.0,0.0
74.0,500000000.0,0.0
23.0,10000000.0,0.0
46.0,10000000.0,0.0
24.0,50000000.0,0.0
37.0,100000000.0,0.0
97.0,100000000.0,0.0
62.0,500000000.0,0.0
24.0,500000000.0,0.0
33.0,100000000.0,0.0
7.8,5000000.0,0.0
46.0,100000000.0,0.0
69.0,100000000.0,0.0
75.0,100000000.0,0.0
67.0,100000000.0,0.0
50.0,1000000.0,0.0
98.0,100000000.0,0.0
37.0,50000000.0,0.0
4.9,5000000.0,0.0
37.0,100000000.0,0.0
18.0,1000000.0,0.0
52.0,100000000.0,0.0
37.0,50000000.0,0.0
78.0,50000000.0,0.0
3.9,10000000.0,0.0
59.0,50000000.0,0.0
97.0,100000000.0,0.0
11.0,100000000.0,0.0
38.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,100000000.0,0.0
37.0,5000000.0,0.0
85.0,10000000.0,0.0
78.0,50000000.0,0.0
63.0,100000000.0,0.0
37.0,50000000.0,0.0
24.0,10000000.0,0.0
69.0,10000000.0,0.0
75.0,10000000.0,0.0
37.0,100000000.0,0.0
70.0,100000000.0,0.0
63.0,10000000.0,0.0
99.0,100000000.0,0.0
49.0,100000000.0,0.0
37.0,100000000.0,0.0
76.0,1000000000.0,0.0
67.0,100000000.0,0.0
24.0,500000000.0,0.0
52.0,100000000.0,0.0
98.0,100000000.0,0.0
74.0,500000000.0,0.0
69.0,100000000.0,0.0
82.0,100000000.0,0.0
37.0,10000000.0,0.0
96.0,100000000.0,0.0
99.0,100000000.0,0.0
46.0,10000000.0,0.0
37.0,50000000.0,0.0
99.0,10000000.0,0.0
87.0,10000000.0,0.0
3.9,10000000.0,0.0
67.0,100000000.0,0.0
37.0,10000000.0,0.0
53.0,100000000.0,0.0
7.8,5000000.0,0.0
37.0,50000000.0,0.0
97.0,100000000.0,0.0
37.0,500000000.0,0.0
37.0,100000000.0,0.0
59.0,50000000.0,0.0
37.0,10000000.0,0.0
46.0,100000000.0,0.0
75.0,10000000.0,0.0
50.0,1000000.0,0.0
62.0,500000000.0,0.0
37.0,100000000.0,0.0
23.0,5000000.0,0.0
72.0,10000000.0,0.0
70.0,100000000.0,0.0
18.0,1000000.0,0.0
37.0,100000000.0,0.0
35.0,100000000.0,0.0
78.0,100000000.0,0.0
25.0,10000000.0,0.0
74.0,100000000.0,0.0
97.0,100000000.0,0.0
17.0,10000000.0,0.0
53.0,100000000.0,0.0
37.0,100000000.0,0.0
11.0,100000000.0,0.0
60.0,10000000.0,0.0
57.0,50000000.0,0.0
14.0,1000000.0,0.0
67.0,100000000.0,0.0
33.0,100000000.0,0.0
76.0,1000000000.0,0.0
74.0,500000000.0,0.0
37.0,10000000.0,0.0
40.0,50000000.0,0.0
59.0,50000000.0,0.0
52.0,100000000.0,0.0
37.0,100000000.0,0.0
37.0,100000000.0,0.0
100.0,100000000.0,0.0
62.0,500000000.0,0.0
37.0,50000000.0,0.0
37.0,50000000.0,0.0
37.0,50000000.0,0.0
37.0,100000000.0,0.0
85.0,100000000.0,0.0
87.0,10000000.0,0.0
33.0,10000000.0,0.0
32.0,50000000.0,0.0
40.0,10000000.0,0.0
29.0,1000000.0,0.0
40.0,10000000.0,0.0
24.0,5000000.0,0.0
38.0,5000000.0,0.0
52.0,100000000.0,0.0
37.0,1000000.0,0.0
54.0,1000000.0,0.0
71.0,10000000.0,0.0
73.0,10000000.0,0.0
57.0,50000000.0,0.0
38.0,500000.0,0.0
62.0,1000000.0,0.0
95.0,100000000.0,0.0
16.0,5000000.0,0.0
39.0,5000000.0,0.0
78.0,10000000.0,0.0
36.0,50000000.0,0.0
37.0,50000000.0,0.0
31.0,10000000.0,0.0
37.0,10000000.0,0.0
98.0,10000000.0,0.0
24.0,50000000.0,0.0
85.0,10000000.0,0.0
33.0,100000000.0,0.0
100.0,5000000.0,0.0
36.0,50000000.0,0.0
86.0,10000000.0,0.0
80.0,1000000.0,0.0
87.0,10000000.0,0.0
79.0,1000000.0,0.0
30.0,10000000.0,0.0
87.0,10000000.0,0.0
91.0,5000000.0,0.0
63.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,1000000.0,0.0
95.0,5000000.0,0.0
48.0,5000000.0,0.0
37.0,5000000.0,0.0
37.0,10000000.0,0.0
93.0,5000000.0,0.0
53.0,5000000.0,0.0
82.0,1000000.0,0.0
99.0,5000000.0,0.0
49.0,10000000.0,0.0
25.0,1000000.0,0.0
37.0,1000000.0,0.0
91.0,5000000.0,0.0
52.0,1000000.0,0.0
56.0,10000000.0,0.0
56.0,10000000.0,0.0
85.0,10000000.0,0.0
81.0,1000000.0,0.0
82.0,1000000.0,0.0
98.0,5000000.0,0.0
77.0,10000000.0,0.0
99.0,5000000.0,0.0
37.0,10000000.0,0.0
96.0,100000.0,0.0
96.0,1000000.0,0.0
82.0,1000000.0,0.0
70.0,100000.0,0.0
63.0,100000.0,1.0
35.0,100000.0,1.0
48.0,100000.0,1.0
84.0,100000.0,1.0
15.0,100000.0,1.0
69.0,100000.0,1.0
46.0,100000.0,1.0
15.0,100000.0,1.0
33.0,100000.0,1.0
48.0,5000000.0,0.0
67.0,100000000.0,0.0
74.0,500000000.0,0.0
57.0,100000000.0,0.0
52.0,100000000.0,0.0
25.0,10000000.0,0.0
37.0,10000000.0,0.0
36.0,50000000.0,0.0
31.0,10000000.0,0.0
91.0,5000000.0,0.0
37.0,10000000.0,0.0
92.0,50000000.0,0.0
70.0,5000000.0,0.0
93.0,10000000.0,0.0
52.0,10000000.0,0.0
91.0,5000000.0,0.0
37.0,10000000.0,0.0
64.0,10000000.0,0.0
35.0,500000.0,0.0
97.0,1000000.0,0.0
93.0,5000000.0,0.0
28.0,50000000.0,0.0
83.0,5000000.0,0.0
99.0,10000000.0,0.0
55.0,500000.0,0.0
82.0,1000000.0,0.0
14.0,50000000.0,0.0
81.0,5000000.0,0.0
37.0,1000000.0,0.0
74.0,500000000.0,0.0
67.0,100000000.0,0.0
52.0,100000000.0,0.0
76.0,1000000000.0,0.0
67.0,100000000.0,0.0
50.0,1000000.0,0.0
46.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,50000000.0,0.0
97.0,100000000.0,0.0
98.0,100000000.0,0.0
70.0,100000000.0,0.0
69.0,100000000.0,0.0
3.9,10000000.0,0.0
7.8,5000000.0,0.0
18.0,1000000.0,0.0
24.0,500000000.0,0.0
62.0,500000000.0,0.0
11.0,100000000.0,0.0
37.0,10000000.0,0.0
87.0,10000000.0,0.0
99.0,100000000.0,0.0
37.0,100000000.0,0.0
82.0,100000000.0,0.0
94.0,100000000.0,0.0
37.0,50000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
96.0,100000000.0,0.0
75.0,10000000.0,0.0
37.0,50000000.0,0.0
14.0,1000000.0,0.0
59.0,50000000.0,0.0
74.0,100000000.0,0.0
29.0,10000000.0,0.0
17.0,10000000.0,0.0
97.0,100000000.0,0.0
78.0,100000000.0,0.0
37.0,50000000.0,0.0
37.0,500000000.0,0.0
63.0,100000000.0,0.0
37.0,100000000.0,0.0
25.0,10000000.0,0.0
29.0,5000000.0,0.0
72.0,10000000.0,0.0
37.0,100000000.0,0.0
53.0,100000000.0,0.0
37.0,50000000.0,0.0
76.0,1000000000.0,0.0
33.0,100000000.0,0.0
60.0,100000000.0,0.0
62.0,500000000.0,0.0
37.0,100000000.0,0.0
37.0,50000000.0,0.0
78.0,100000000.0,0.0
75.0,10000000.0,0.0
37.0,100000000.0,0.0
70.0,50000000.0,0.0
99.0,50000000.0,0.0
99.0,10000000.0,0.0
37.0,50000000.0,0.0
27.0,50000000.0,0.0
70.0,10000000.0,0.0
88.0,100000000.0,0.0
63.0,10000000.0,0.0
82.0,10000000.0,0.0
48.0,5000000.0,0.0
37.0,50000000.0,0.0
31.0,10000000.0,0.0
23.0,50000000.0,0.0
37.0,50000000.0,0.0
59.0,10000000.0,0.0
39.0,10000000.0,0.0
54.0,10000000.0,0.0
48.0,10000000.0,0.0
37.0,100000.0,0.0
30.0,10000000.0,0.0
66.0,10000000.0,0.0
32.0,100000000.0,0.0
50.0,1000000.0,0.0
53.0,100000000.0,0.0
61.0,1000000.0,0.0
49.0,1000000.0,0.0
38.0,5000000.0,0.0
20.0,10000000.0,0.0
37.0,10000000.0,0.0
37.0,10000000.0,0.0
66.0,10000000.0,0.0
57.0,100000000.0,0.0
95.0,5000000.0,0.0
37.0,5000000.0,0.0
37.0,10000000.0,0.0
32.0,100000.0,0.0
33.0,50000000.0,0.0
66.0,5000000.0,0.0
75.0,50000000.0,0.0
29.0,10000000.0,0.0
74.0,500000000.0,0.0
69.0,100000000.0,0.0
7.8,5000000.0,0.0
33.0,100000000.0,0.0
52.0,100000000.0,0.0
50.0,10000000.0,0.0
46.0,10000000.0,0.0
12.0,10000000.0,0.0
41.0,5000000.0,0.0
63.0,10000000.0,0.0
53.0,100000000.0,0.0
63.0,100000000.0,0.0
99.0,50000000.0,0.0
37.0,5000000.0,0.0
20.0,10000000.0,0.0
11.0,100000000.0,0.0
75.0,10000000.0,0.0
13.0,10000000.0,0.0
46.0,100000000.0,0.0
78.0,50000000.0,0.0
49.0,100000000.0,0.0
14.0,1000000.0,0.0
100.0,100000000.0,0.0
37.0,10000000.0,0.0
97.0,100000000.0,0.0
37.0,10000000.0,0.0
37.0,100000000.0,0.0
15.0,5000000.0,0.0
33.0,10000000.0,0.0
37.0,1000000.0,0.0
70.0,50000000.0,0.0
10.0,10000000.0,0.0
77.0,10000000.0,0.0
37.0,50000000.0,0.0
37.0,50000000.0,0.0
4.9,5000000.0,0.0
37.0,10000000.0,0.0
25.0,10000000.0,0.0
96.0,100000000.0,0.0
23.0,5000000.0,0.0
51.0,10000000.0,0.0
96.0,100000000.0,0.0
37.0,100000000.0,0.0
37.0,50000000.0,0.0
37.0,50000000.0,0.0
70.0,100000000.0,0.0
38.0,50000000.0,0.0
24.0,10000000.0,0.0
37.0,50000000.0,0.0
20.0,10000000.0,0.0
67.0,100000000.0,0.0
19.0,1000000.0,0.0
51.0,5000000.0,0.0
22.0,5000000.0,0.0
46.0,1000000.0,0.0
21.0,1000000.0,0.0
39.0,5000000.0,0.0
23.0,1000000.0,0.0
26.0,100000.0,0.0
39.0,5000000.0,0.0
24.0,50000000.0,0.0
15.0,1000000.0,0.0
20.0,500000.0,0.0
24.0,10000000.0,0.0
44.0,500000.0,0.0
38.0,5000000.0,0.0
52.0,1000000.0,0.0
14.0,500000.0,0.0
49.0,10000000.0,0.0
8.9,500000.0,0.0
37.0,1000000.0,0.0
56.0,50000000.0,0.0
99.0,10000000.0,0.0
10.0,1000000.0,0.0
6.9,10000000.0,0.0
20.0,5000000.0,0.0
10.0,1000000.0,0.0
19.0,5000000.0,0.0
33.0,500000.0,0.0
85.0,10000000.0,0.0
48.0,1000000.0,0.0
9.6,1000000.0,0.0
37.0,10000000.0,0.0
15.0,10000000.0,0.0
